Torneio,Temporada,Equipe,Nome,Slug,Short Name,Gender,Sport,Category,Tournament,Manager,Venue,Foundation Date,ID,Country,Full Name,Team Colors
Brasileirão Série A,Brasileirão Série A 2023,Palmeiras,Palmeiras,palmeiras,Palmeiras,M,Football,Brazil,Brasileirão Série A,Abel Ferreira,Allianz Parque,1914-08-26 00:00:00,1963,Brazil,Palmeiras,#339966
Brasileirão Série A,Brasileirão Série A 2023,Botafogo,Botafogo,botafogo,Botafogo,M,Football,Brazil,Brasileirão Série B,Tiago Nunes,Estádio Nilton Santos,1894-07-01 00:00:00,1958,Brazil,Botafogo,#000000
Brasileirão Série A,Brasileirão Série A 2023,Flamengo,Flamengo,flamengo,Flamengo,M,Football,Brazil,Brasileirão Série A,Tite,Estádio do Maracanã,1895-11-15 00:00:00,5981,Brazil,Flamengo,#ff0000
Brasileirão Série A,Brasileirão Série A 2023,Grêmio,Grêmio,gremio,Grêmio,M,Football,Brazil,Brasileirão Série A,Renato Gaúcho,Arena do Grêmio,1903-09-15 00:00:00,5926,Brazil,Grêmio,#3399ff
Brasileirão Série A,Brasileirão Série A 2023,Red Bull Bragantino,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,Brazil,Brasileirão Série A,Pedro Caixinha,Estadio Nabi Abi Chedid,1928-01-08 00:00:00,1999,Brazil,Red Bull Bragantino,#363636
Brasileirão Série A,Brasileirão Série A 2023,Atlético Mineiro,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,Brazil,Brasileirão Série A,Luiz Felipe Scolari,Arena MRV,1908-03-25 00:00:00,1977,Brazil,Atlético Mineiro,#000000
Brasileirão Série A,Brasileirão Série A 2023,Fluminense,Fluminense,fluminense,Fluminense,M,Football,Brazil,Brasileirão Série A,Fernando Diniz,Estádio do Maracanã,1902-07-21 00:00:00,1961,Brazil,Fluminense,#660000
Brasileirão Série A,Brasileirão Série A 2023,Athletico,Athletico,athletico,Athletico,M,Football,Brazil,Brasileirão Série A,Wesley Carvalho,Ligga Arena,1924-03-26 00:00:00,1967,Brazil,Athletico,#000000
Brasileirão Série A,Brasileirão Série A 2023,Cuiabá,Cuiabá,cuiaba,Cuiabá,M,Football,Brazil,Brasileirão Série A,António Oliveira,Arena Pantanal,2021-03-16 00:00:00,49202,Brazil,Cuiabá,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,São Paulo,São Paulo,sao-paulo,São Paulo,M,Football,Brazil,Brasileirão Série A,Dorival Júnior,Estádio Cicero Pompeu de Toledo,1935-12-16 00:00:00,1981,Brazil,São Paulo,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Fortaleza,Fortaleza,fortaleza,Fortaleza,M,Football,Brazil,Brasileirão Série A,Juan Pablo Vojvoda,Arena Castelão,1918-10-18 00:00:00,2020,Brazil,Fortaleza,#0000ff
Brasileirão Série A,Brasileirão Série A 2023,Corinthians,Corinthians,corinthians,Corinthians,M,Football,Brazil,Brasileirão Série A,Mano Menezes,Neo Química Arena,1910-09-01 00:00:00,1957,Brazil,Corinthians,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Internacional,Internacional,internacional,Internacional,M,Football,Brazil,Brasileirão Série A,Eduardo Coudet,Estadio Beira-Rio,1909-04-04 00:00:00,1966,Brazil,Internacional,#cc0000
Brasileirão Série A,Brasileirão Série A 2023,Vasco da Gama,Vasco da Gama,vasco-da-gama,Vasco,M,Football,Brazil,Brasileirão Série B,Ramón Díaz,Estádio São Januário,1898-08-21 00:00:00,1974,Brazil,Vasco da Gama,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Santos,Santos,santos,Santos,M,Football,Brazil,Brasileirão Série A,Marcelo Fernandes,Urbano Caldeira,1912-04-14 00:00:00,1968,Brazil,Santos,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Bahia,Bahia,bahia,Bahia,M,Football,Brazil,Brasileirão Série A,Rogério Ceni,Arena Fonte Nova,1931-01-01 00:00:00,1955,Brazil,Bahia,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Cruzeiro,Cruzeiro,cruzeiro,Cruzeiro,M,Football,Brazil,Brasileirão Série B,Paulo Autuori,Governador Magalhaes Pinto,1921-01-02 00:00:00,1954,Brazil,Cruzeiro,#0033cc
Brasileirão Série A,Brasileirão Série A 2023,Goiás,Goiás,goias,Goiás,M,Football,Brazil,Brasileirão Série B,Armando Evangelista,Estádio Hailé Pinheiro,1943-04-06 00:00:00,1960,Brazil,Goiás,#006633
Brasileirão Série A,Brasileirão Série A 2023,Coritiba,Coritiba,coritiba,Coritiba,M,Football,Brazil,Brasileirão Série B,Thiago Kosloski,Estádio Couto Pereira,1909-10-12 00:00:00,1982,Brazil,Coritiba,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,América Mineiro,América Mineiro,america-mineiro,América-MG,M,Football,Brazil,Brasileirão Série A,Diogo Giacomini,Arena Independência,1912-04-30 00:00:00,1973,Brazil,América Mineiro,#056635
Brasileirão Série A,Brasileirão Série A 2022,Ceará,Ceará,ceara,Ceará,M,Football,Brazil,Brasileirão Série A,Guto Ferreira,Arena Castelão,1914-06-02 00:00:00,2001,Brazil,Ceará,#000000
Brasileirão Série A,Brasileirão Série A 2022,Atlético Goianiense,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,Brazil,Brasileirão Série A,Jair Ventura,Estadio Antonio Accioly,1937-04-02 00:00:00,7314,Brazil,Atlético Goianiense,#ff0000
Brasileirão Série A,Brasileirão Série A 2022,Avaí,Avaí,avai,Avaí,M,Football,Brazil,Brasileirão Série B,Eduardo Barroca,Estádio da Ressacada,1923-09-01 00:00:00,7315,Brazil,Avaí,#0066ff
Brasileirão Série A,Brasileirão Série A 2022,Juventude,Juventude,juventude,Juventude,M,Football,Brazil,Brasileirão Série A,Thiago Carpini,Estádio Alfredo Jaconi,1913-06-29 00:00:00,1980,Brazil,Juventude,#006600
Brasileirão Série A,Brasileirão Série A 2021,Sport Recife,Sport Recife,sport-recife,Sport,M,Football,Brazil,Brasileirão Série A,Enderson Moreira,Ilha do Retiro,1905-05-13 00:00:00,1959,Brazil,Sport Recife,#cc0000
Brasileirão Série A,Brasileirão Série A 2021,Chapecoense,Chapecoense,chapecoense,Chapecoense,M,Football,Brazil,Brasileirão Série A,Claudinei Oliveira,Arena Condá,1973-05-10 00:00:00,21845,Brazil,Chapecoense,#009966
Brasileirão Série A,Brasileirão Série A 2019,CSA,CSA,csa,CSA,M,Football,Brazil,Brasileirão Série B,Marcelo Cabo,Estádio Rei Pelé,1913-09-07 00:00:00,2010,Brazil,CSA,#043681
Brasileirão Série A,Brasileirão Série A 2018,Vitória,Vitória,vitoria,Vitória,M,Football,Brazil,Brasileirão Série B,Léo Condé,Estadio Manoel Barradas,1899-05-13 00:00:00,1962,Brazil,Vitória,#ff0000
Brasileirão Série A,Brasileirão Série A 2018,Paraná Clube,Paraná Clube,parana-clube,Paraná,M,Football,Brazil,Paranaense,,Estadio Durival de Britto e Silva,1989-12-19 00:00:00,1965,Brazil,Paraná Clube,#000099
Brasileirão Série A,Brasileirão Série A 2017,Ponte Preta,Ponte Preta,ponte-preta,Ponte Preta,M,Football,Brazil,Brasileirão Série B,Joao Brigatti,Moisés Lucarelli,1900-08-11 00:00:00,1969,Brazil,Ponte Preta,#ffffff
Brasileirão Série A,Brasileirão Série A 2016,Figueirense,Figueirense,figueirense,Figueirense,M,Football,Brazil,"Brasileirão Série C, Group B",Paulo Baier,Orlando Scarpelli,1921-06-12 00:00:00,1985,Brazil,Figueirense,#000000
Brasileirão Série A,Brasileirão Série A 2016,Santa Cruz,Santa Cruz,santa-cruz,Santa Cruz ,M,Football,Brazil,Brasileirão Série C,Evaristo Piza,Estádio do Arruda,1914-02-03 00:00:00,1976,Brazil,Santa Cruz,#ff0000
Brasileirão Série A,Brasileirão Série A 2015,Joinville,Joinville,joinville,Joinville,M,Football,Brazil,Catarinense,,Arena Joinville,1976-01-29 00:00:00,1987,Brazil,Joinville,#cc0000
Brasileirão Série A,Brasileirão Série A 2014,Criciúma,Criciúma,criciuma,Criciúma,M,Football,Brazil,"Brasileirão Série C, Group B",Cláudio Tencati,Estadio Heriberto Hülse,1947-05-13 00:00:00,1984,Brazil,Criciúma,#ffff00
Brasileirão Série A,Brasileirão Série A 2013,Portuguesa,Portuguesa,portuguesa,Portuguesa,M,Football,Brazil,"Paulista, Serie A2",Leandro Zago,Estádio Doutor Oswaldo Teixeira Duarte,1920-08-14 00:00:00,21896,Brazil,Portuguesa,#cc0000
Brasileirão Série A,Brasileirão Série A 2013,Náutico,Náutico,nautico,Náutico,M,Football,Brazil,Brasileirão Série B,,Aflitos,1901-04-07 00:00:00,2011,Brazil,Náutico,#ff3300
Brasileirão Série A,Brasileirão Série A 2010,Guarani,Guarani,guarani,Guarani,M,Football,Brazil,Brasileirão Série B,Umberto Louzer,Estádio Brinco de Ouro da Princesa,1911-04-02 00:00:00,1972,Brazil,Guarani,#006214
Brasileirão Série A,Brasileirão Série A 2010,Grêmio Barueri,Grêmio Barueri,gremio-barueri,Barueri,M,Football,Brazil,"Paulista, Série A3",,Estadio Paulo Constantino,1989-03-26 00:00:00,6956,Brazil,Grêmio Barueri,#ffffff
Brasileirão Série A,Brasileirão Série A 2009,Santo André,Santo André,santo-andre,Santo André,M,Football,Brazil,Paulista Série A1,,Estádio Bruno José Daniel,1967-09-18 00:00:00,6966,Brazil,Santo André,#ffffff
Brasileirão Série A,Brasileirão Série A 2008,Ipatinga,Ipatinga,ipatinga,Ipatinga,M,Football,Brazil,Brasileirão Série B,,Ipatingão,1998-05-21 00:00:00,7297,Brazil,Ipatinga,#52b030
UEFA Champions League,UEFA Champions League 23/24,FC Bayern München,FC Bayern München,fc-bayern-munchen,Bayern,M,Football,Germany,Bundesliga,Thomas Tuchel,Allianz Arena,1900-02-27 00:00:00,2672,Germany,FC Bayern München,#cf142f
UEFA Champions League,UEFA Champions League 23/24,FC København,FC København,fc-kobenhavn,København,M,Football,Denmark,Superliga,Jacob Neestrup,Parken,1992-07-01 00:00:00,1284,Denmark,FC København,#ffffff
UEFA Champions League,UEFA Champions League 23/24,Galatasaray,Galatasaray,galatasaray,Galatasaray,M,Football,Turkey,Trendyol Süper Lig,Okan Buruk,Rams Park Stadyumu,1905-10-01 00:00:00,3061,Turkey,Galatasaray,#ff9900
UEFA Champions League,UEFA Champions League 23/24,Manchester United,Manchester United,manchester-united,Man Utd,M,Football,England,Premier League,Erik ten Hag,Old Trafford,1878-03-05 00:00:00,35,England,Manchester United,#ff0000
UEFA Champions League,UEFA Champions League 22/23,Napoli,Napoli,napoli,Napoli,M,Football,Italy,Serie A,Walter Mazzarri,Stadio Diego Armando Maradona,1926-08-01 00:00:00,2714,Italy,Napoli,#008cea
UEFA Champions League,UEFA Champions League 22/23,Liverpool,Liverpool,liverpool,Liverpool,M,Football,England,Premier League,Jürgen Klopp,Anfield,1892-03-15 00:00:00,44,England,Liverpool,#cc0000
UEFA Champions League,UEFA Champions League 22/23,Ajax,Ajax,ajax,Ajax,M,Football,Netherlands,Eredivisie,John van't Schip,Johan Cruijff ArenA,1900-03-18 00:00:00,2953,Netherlands,Ajax,#bb002b
UEFA Champions League,UEFA Champions League 22/23,Rangers,Rangers,rangers,Rangers,M,Football,Scotland,Premiership,Philippe Clement,Ibrox,1872-03-01 00:00:00,2351,Scotland,Rangers,#0033a0
UEFA Champions League,UEFA Champions League 21/22,Manchester City,Manchester City,manchester-city,Man City,M,Football,England,Premier League,Pep Guardiola,Etihad Stadium,1880-11-23 00:00:00,17,England,Manchester City,#66ccff
UEFA Champions League,UEFA Champions League 21/22,Paris Saint-Germain,Paris Saint-Germain,paris-saint-germain,PSG,M,Football,France,Ligue 1,Luis Enrique,Parc des Princes,1970-08-12 00:00:00,1644,France,Paris Saint-Germain,#000066
UEFA Champions League,UEFA Champions League 21/22,RB Leipzig,RB Leipzig,rb-leipzig,Leipzig,M,Football,Germany,Bundesliga,Marco Rose,Red Bull Arena,2009-05-19 00:00:00,36360,Germany,RB Leipzig,#ffffff
UEFA Champions League,UEFA Champions League 21/22,Club Brugge,Club Brugge,club-brugge,Club Brugge,M,Football,Belgium,Pro League,Ronny Deila,Jan Breydel Stadium,1891-11-13 00:00:00,2888,Belgium,Club Brugge,#0080ff
UEFA Champions League,UEFA Champions League 20/21,Atlético Madrid,Atlético Madrid,atletico-madrid,Atl. Madrid,M,Football,Spain,LaLiga,Diego Simeone,Cívitas Metropolitano,1903-04-26 00:00:00,2836,Spain,Atlético Madrid,#ffffff
UEFA Champions League,UEFA Champions League 20/21,Red Bull Salzburg,Red Bull Salzburg,red-bull-salzburg,RB Salzburg,M,Football,Austria,Bundesliga,Gerhard Struber,Red Bull Arena,1933-09-13 00:00:00,2046,Austria,Red Bull Salzburg,#ffffff
UEFA Champions League,UEFA Champions League 20/21,Lokomotiv Moscow,Lokomotiv Moscow,lokomotiv-moscow,Lokomotiv,M,Football,Russia,Premier Liga,Mikhail Galaktionov,RZD Arena,1922-07-23 00:00:00,2320,Russia,Lokomotiv Moscow,#19683f
UEFA Champions League,UEFA Champions League 19/20,Real Madrid,Real Madrid,real-madrid,Real Madrid,M,Football,Spain,LaLiga,Carlo Ancelotti,Santiago Bernabéu,1902-03-06 00:00:00,2829,Spain,Real Madrid,#ffffff
UEFA Champions League,UEFA Champions League 18/19,Borussia Dortmund,Borussia Dortmund,borussia-dortmund,Dortmund,M,Football,Germany,Bundesliga,Edin Terzić,Signal Iduna Park,1909-12-19 00:00:00,2673,Germany,Borussia Dortmund,#ffe600
UEFA Champions League,UEFA Champions League 18/19,AS Monaco,AS Monaco,as-monaco,AS Monaco,M,Football,France,Ligue 1,Adolf Hütter,Stade Louis II,1924-08-23 00:00:00,1653,Monaco,AS Monaco,#ffffff
UEFA Champions League,UEFA Champions League 17/18,Basel,Basel,basel,Basel,M,Football,Switzerland,Super League,Fabio Celestini,St. Jakob-Park,1893-11-15 00:00:00,2501,Switzerland,Basel,#000099
UEFA Champions League,UEFA Champions League 17/18,CSKA Moscow,CSKA Moscow,cska-moscow,CSKA,M,Football,Russia,Premier Liga,Vladimir Fedotov,VEB Arena,1911-08-27 00:00:00,2325,Russia,CSKA Moscow,#cc0000
UEFA Champions League,UEFA Champions League 17/18,Benfica,Benfica,benfica,Benfica,M,Football,Portugal,Liga Portugal,Roger Schmidt,Estádio da Luz,1904-02-28 00:00:00,3006,Portugal,Benfica,#cc0000
UEFA Champions League,UEFA Champions League 16/17,Arsenal,Arsenal,arsenal,Arsenal,M,Football,England,Premier League,Mikel Arteta,Emirates Stadium,1886-10-01 00:00:00,42,England,Arsenal,#cc0000
UEFA Champions League,UEFA Champions League 16/17,Ludogorets,Ludogorets,ludogorets,Ludogorets,M,Football,Bulgaria,Bulgarian Cup,George Dermendzhiev,Huvepharma Arena,1945-01-01 00:00:00,43840,Bulgaria,Ludogorets,#006837
UEFA Champions League,UEFA Champions League 15/16,Shakhtar Donetsk,Shakhtar Donetsk,shakhtar-donetsk,Shakhtar,M,Football,Ukraine,Premier League,Marino Pušić,NSK Olimpiyskyi,1936-05-24 00:00:00,3313,Ukraine,Shakhtar Donetsk,#ff6600
UEFA Champions League,UEFA Champions League 15/16,Malmö FF,Malmö FF,malmo-ff,Malmö,M,Football,Sweden,Allsvenskan,Henrik Rydstrom,Stadion,1910-02-24 00:00:00,1892,Sweden,Malmö FF,#0099ff
UEFA Champions League,Champions League 14/15,Juventus,Juventus,juventus,Juventus,M,Football,Italy,Serie A,Massimiliano Allegri,Allianz Stadium,1897-11-01 00:00:00,2687,Italy,Juventus,#ffffff
UEFA Champions League,Champions League 14/15,Olympiacos,Olympiacos,olympiacos,Olympiacos,M,Football,Greece,Novibet Greek Cup,Diego Martinez,Georgios Karaiskakis,1925-03-10 00:00:00,3245,Greece,Olympiacos,#ff0000
UEFA Champions League,Champions League 13/14,Bayer 04 Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Leverkusen,M,Football,Germany,Bundesliga,Xabi Alonso,BayArena,1904-07-01 00:00:00,2681,Germany,Bayer 04 Leverkusen,#000000
UEFA Champions League,Champions League 13/14,Real Sociedad,Real Sociedad,real-sociedad,Real Sociedad,M,Football,Spain,LaLiga,Imanol Alguacil Barrenetxea,Reale Arena,1908-11-30 00:00:00,2824,Spain,Real Sociedad,#ffffff
UEFA Champions League,UEFA Champions League 12/13,FC Porto,FC Porto,fc-porto,Porto,M,Football,Portugal,Liga Portugal,Sérgio Conceição,Estádio do Dragão,1893-09-28 00:00:00,3002,Portugal,FC Porto,#194f93
UEFA Champions League,UEFA Champions League 12/13,Dynamo Kyiv,Dynamo Kyiv,dynamo-kyiv,Dynamo Kyiv,M,Football,Ukraine,Premier League,Oleksandr Shovkovskyi,Olimpiysky National Sports Complex,1927-05-13 00:00:00,3305,Ukraine,Dynamo Kyiv,#ffffff
UEFA Champions League,UEFA Champions League 12/13,GNK Dinamo Zagreb,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,Croatia,HNL,Sergej Jakirović,Maksimir,1911-04-26 00:00:00,2032,Croatia,GNK Dinamo Zagreb,#0b59a1
UEFA Champions League,Champions League 11/12,Villarreal,Villarreal,villarreal,Villarreal,M,Football,Spain,LaLiga,Marcelino,Estadio de la Ceramica,1923-03-10 00:00:00,2819,Spain,Villarreal,#ffff00
UEFA Champions League,Champions League 10/11,Tottenham Hotspur,Tottenham Hotspur,tottenham-hotspur,Tottenham ,M,Football,England,Premier League,Ange Postecoglou,Tottenham Hotspur Stadium,1882-09-05 00:00:00,33,England,Tottenham Hotspur,#ffffff
UEFA Champions League,Champions League 10/11,Inter,Inter,inter,Inter,M,Football,Italy,Serie A,Simone Inzaghi,San Siro/Giuseppe Meazza,1908-03-09 00:00:00,2697,Italy,Inter,#1a57cc
UEFA Champions League,Champions League 10/11,FC Twente,FC Twente,fc-twente,Twente,M,Football,Netherlands,Eredivisie,Joseph Oosting,De Grolsch Veste,1965-07-01 00:00:00,2955,Netherlands,FC Twente,#ff0000
UEFA Champions League,Champions League 10/11,SV Werder Bremen,SV Werder Bremen,sv-werder-bremen,Bremen,M,Football,Germany,2. Bundesliga,Ole Werner,Weserstadion,1899-02-04 00:00:00,2534,Germany,SV Werder Bremen,#009966
UEFA Champions League,Champions League 09/10,Bordeaux,Bordeaux,bordeaux,Bordeaux,M,Football,France,Ligue 1,Albert Riera,Matmut Atlantique,1881-10-01 00:00:00,1645,France,Bordeaux,#001244
UEFA Champions League,Champions League 09/10,Maccabi Haifa,Maccabi Haifa,maccabi-haifa,M. Haifa,M,Football,Israel,Premier League,Messay Dego,Sammy Ofer Stadium,1913-01-01 00:00:00,5197,Israel,Maccabi Haifa,#009900
UEFA Champions League,Champions League 08/09,Roma,Roma,roma,Roma,M,Football,Italy,Serie A,José Mourinho,Stadio Olimpico,1927-06-07 00:00:00,2702,Italy,Roma,#990000
UEFA Champions League,Champions League 08/09,Chelsea,Chelsea,chelsea,Chelsea,M,Football,England,Premier League,Mauricio Pochettino,Stamford Bridge,1905-03-10 00:00:00,38,England,Chelsea,#0310a7
UEFA Champions League,Champions League 08/09,CFR 1907 Cluj,CFR 1907 Cluj,cfr-1907-cluj,CFR Cluj,M,Football,Romania,Superliga,Andrea Mandorlini,Stadionul Dr. Constantin Rădulescu,1907-01-01 00:00:00,5287,Romania,CFR 1907 Cluj,#8d2642
UEFA Champions League,Champions League 07/08,Olympique de Marseille,Olympique de Marseille,olympique-de-marseille,Marseille,M,Football,France,Ligue 1,Gennaro Gattuso,Orange Velodrome,1899-08-31 00:00:00,1641,France,Olympique de Marseille,#ffffff
UEFA Champions League,Champions League 07/08,Beşiktaş,Beşiktaş,besiktas,Beşiktaş,M,Football,Turkey,Trendyol Süper Lig,Riza Calimbay,Tüpraş Stadyum ,1903-03-03 00:00:00,3050,Turkey,Beşiktaş,#ffffff
UEFA Champions League,Champions League 06/07,Barcelona,Barcelona,barcelona,Barcelona,M,Football,Spain,LaLiga,Xavi,Olímpic Lluís Companys,1899-11-29 00:00:00,2817,Spain,Barcelona,#154284
UEFA Champions League,Champions League 06/07,Levski Sofia,Levski Sofia,levski-sofia,Levski Sofia,M,Football,Bulgaria,Parva Liga,Nikolai Kostov,Vivacom Arena Georgi Asparuhov,1914-05-24 00:00:00,3273,Bulgaria,Levski Sofia,#0958b0
UEFA Champions League,Champions League 05/06,SK Rapid Wien,SK Rapid Wien,sk-rapid-wien,Rapid,M,Football,Austria,Bundesliga,Robert Klauss,Allianz Stadion,1899-01-08 00:00:00,2055,Austria,SK Rapid Wien,#00794b
UEFA Champions League,Champions League 04/05,Deportivo La Coruña,Deportivo La Coruña,deportivo-la-coruna,Deportivo,M,Football,Spain,"Primera Federación, Group 1",Imanol Idiakez,Riazor,1906-05-11 00:00:00,2832,Spain,Deportivo La Coruña,#003399
UEFA Champions League,Champions League 03/04,Olympique Lyonnais,Olympique Lyonnais,olympique-lyonnais,Lyon,M,Football,France,Ligue 1,Fabio Grosso,Groupama Stadium,1950-08-03 00:00:00,1649,France,Olympique Lyonnais,#ffffff
UEFA Champions League,Champions League 03/04,Celtic,Celtic,celtic,Celtic,M,Football,Scotland,Premiership,Brendan Rodgers,Celtic Park,1887-11-06 00:00:00,2352,Scotland,Celtic,#ffffff
UEFA Champions League,Champions League 03/04,Anderlecht,Anderlecht,anderlecht,Anderlecht,M,Football,Belgium,Pro League,Brian Riemer,Lotto Park,1908-05-27 00:00:00,2900,Belgium,Anderlecht,#330066
UEFA Europa League,UEFA Europa League 23/24,SC Freiburg,SC Freiburg,sc-freiburg,Freiburg,M,Football,Germany,Bundesliga,Christian Streich,Europa-Park-Stadion,1904-05-30 00:00:00,2538,Germany,SC Freiburg,#cc3333
UEFA Europa League,UEFA Europa League 23/24,West Ham United,West Ham United,west-ham-united,West Ham,M,Football,England,Premier League,David Moyes,London Stadium,1895-01-01 00:00:00,37,England,West Ham United,#66192c
UEFA Europa League,UEFA Europa League 23/24,FK TSC Bačka Topola,FK TSC Bačka Topola,fk-tsc-backa-topola,TSC,M,Football,Serbia,Mozzart Bet Superliga,Zarko Lazetic,TSC Arena,1913-07-01 00:00:00,263360,Serbia,FK TSC Bačka Topola,#191970
UEFA Europa League,UEFA Europa League 22/23,PSV Eindhoven,PSV Eindhoven,psv-eindhoven,PSV,M,Football,Netherlands,Eredivisie,Peter Bosz,Philips Stadion,1913-08-31 00:00:00,2952,Netherlands,PSV Eindhoven,#ff0000
UEFA Europa League,UEFA Europa League 22/23,Bodø/Glimt,Bodø/Glimt,bodoglimt,Bodø/Glimt,M,Football,Norway,Eliteserien,Kjetil Knutsen,Aspmyra Stadion,1916-09-19 00:00:00,656,Norway,Bodø/Glimt,#ffcc33
UEFA Europa League,UEFA Europa League 22/23,FC Zürich,FC Zürich,fc-zurich,Zürich,M,Football,Switzerland,Super League,Bo Henriksen,Letzigrund,1896-08-01 00:00:00,2450,Switzerland,FC Zürich,#ffffff
UEFA Europa League,UEFA Europa League 21/22,Sparta Praha,Sparta Praha,sparta-praha,Sparta Praha,M,Football,Czech Republic,1. Liga,Brian Priske,Generali Arena,1893-11-16 00:00:00,2218,Czech Republic,Sparta Praha,#942536
UEFA Europa League,UEFA Europa League 21/22,Brøndby IF,Brøndby IF,brondby-if,Brøndby,M,Football,Denmark,Superliga,Jesper Sorensen,Brøndby Stadium,1964-12-03 00:00:00,1281,Denmark,Brøndby IF,#ffff00
UEFA Europa League,UEFA Europa League 20/21,Young Boys,Young Boys,young-boys,Young Boys,M,Football,Switzerland,Super League,Raphael Wicky,Wankdorf Stadion,1898-03-14 00:00:00,2445,Switzerland,Young Boys,#ffcf00
UEFA Europa League,UEFA Europa League 20/21,CSKA Sofia,CSKA Sofia,cska-sofia,CSKA Sofia,M,Football,Bulgaria,Bulgarian Cup,Nestor El Maestro,Balgarska Armiya Stadium,1948-05-05 00:00:00,3275,Bulgaria,CSKA Sofia,#b40000
UEFA Europa League,UEFA Europa League 19/20,Sevilla,Sevilla,sevilla,Sevilla,M,Football,Spain,LaLiga,Diego Alonso,Ramón Sánchez Pizjuán,1890-01-25 00:00:00,2833,Spain,Sevilla,#ffffff
UEFA Europa League,UEFA Europa League 19/20,APOEL Nicosia,APOEL Nicosia,apoel-nicosia,APOEL,M,Football,Cyprus,1. Division,Ricardo Sá Pinto,GSP Stadium,1926-11-08 00:00:00,3398,Cyprus,APOEL Nicosia,#f5c00a
UEFA Europa League,UEFA Europa League 19/20,Qarabağ,Qarabağ,qarabag,Qarabağ,M,Football,Azerbaijan,Premier League,Gurban Gurbanov,Azərsun Arena,1951-06-01 00:00:00,5962,Azerbaijan,Qarabağ,#000000
UEFA Europa League,UEFA Europa League 19/20,F91 Dudelange,F91 Dudelange,f91-dudelange,Dudelange,M,Football,Luxembourg,Division Nationale,Jamath Shoffner,Stade Jos Nosbaum,1991-04-26 00:00:00,5207,Luxembourg,F91 Dudelange,#ffff00
UEFA Europa League,UEFA Europa League 18/19,AEK Larnaca,AEK Larnaca,aek-larnaca,AEK,M,Football,Cyprus,1. Division,,AEK Arena,1994-07-18 00:00:00,3404,Cyprus,AEK Larnaca,#006600
UEFA Europa League,UEFA Europa League 17/18,Astana,Astana,astana,Astana,M,Football,Kazakhstan,Premier League,Grigoriy Babayan,Astana Arena,2009-01-01 00:00:00,36155,Kazakhstan,Astana,#fff200
UEFA Europa League,UEFA Europa League 17/18,Slavia Praha,Slavia Praha,slavia-praha,Slavia Praha,M,Football,Czech Republic,1. Liga,Jindřich Trpišovský,Fortuna Arena,1892-11-02 00:00:00,2216,Czech Republic,Slavia Praha,#ffffff
UEFA Europa League,UEFA Europa League 17/18,Maccabi Tel Aviv,Maccabi Tel Aviv,maccabi-tel-aviv,M. Tel-Aviv,M,Football,Israel,Premier League,Robbie Keane,Bloomfield,1906-01-01 00:00:00,5198,Israel,Maccabi Tel Aviv,#ffff00
UEFA Europa League,UEFA Europa League 16/17,Fenerbahçe,Fenerbahçe,fenerbahce,Fenerbahçe,M,Football,Turkey,Trendyol Süper Lig,Ismail Kartal,Şükrü Saracoğlu Stadium,1907-05-03 00:00:00,3052,Turkey,Fenerbahçe,#000066
UEFA Europa League,UEFA Europa League 16/17,Feyenoord,Feyenoord,feyenoord,Feyenoord,M,Football,Netherlands,Eredivisie,Arne Slot,De Kuip,1908-07-19 00:00:00,2959,Netherlands,Feyenoord,#ff0000
UEFA Europa League,UEFA Europa League 16/17,Zorya Luhansk,Zorya Luhansk,zorya-luhansk,Zorya Luhansk,M,Football,Ukraine,Premier League,Yurii Koval,Slavutych-Arena,1922-11-30 00:00:00,5987,Ukraine,Zorya Luhansk,#000000
UEFA Europa League,UEFA Europa League 15/16,Molde FK,Molde FK,molde-fk,Molde,M,Football,Norway,Eliteserien,Erling Moe,Aker Stadion,1911-06-19 00:00:00,661,Norway,Molde FK,#2173b9
UEFA Europa League,UEFA Europa League 14/15,Borussia M'gladbach,Borussia M'gladbach,borussia-mgladbach,M'gladbach,M,Football,Germany,Bundesliga,Gerardo Seoane,Borussia-Park,1900-08-01 00:00:00,2527,Germany,Borussia M'gladbach,#ffffff
UEFA Europa League,UEFA Europa League 14/15,Apollon Limassol,Apollon Limassol,apollon-limassol,Apollon,M,Football,Cyprus,1. Division,Vladan Milojević,Alphamega Stadium,1954-04-14 00:00:00,3402,Cyprus,Apollon Limassol,#2424ff
UEFA Europa League,UEFA Europa League 13/14,Valencia,Valencia,valencia,Valencia,M,Football,Spain,LaLiga,Ruben Baraja,Mestalla,1919-03-18 00:00:00,2828,Spain,Valencia,#ffffff
